T_W1,T_W2,T_W3,T_W4
1147.96759578192,1147.96759578192,1213.49713814815,1215.12484767787
1147.96759673515,1147.96759673515,1213.48046533276,1215.10224574309
1147.96759767637,1147.96759767637,1213.46314309431,1215.0789899084
1147.96759860572,1147.96759860572,1213.44590082001,1215.05583323737
1147.96759952336,1147.96759952336,1213.42799825247,1215.03201564686
1147.96760042942,1147.96760042942,1213.41018796788,1215.00830556268
1147.96760132406,1147.96760132406,1213.39170665213,1214.98392767298
1147.96760220743,1147.96760220743,1213.3733297928,1214.95966548726
1147.96760307965,1147.96760307965,1213.35427129912,1214.93472874515
1147.96760394088,1147.96760394088,1213.33532928767,1214.9099157582
1147.96760479126,1147.96760479126,1213.31569517581,1214.88442160074
1147.96760563091,1147.96760563091,1213.29618942209,1214.85905910166
1147.96760645998,1147.96760645998,1213.27598124138,1214.83300895627
1147.9676072786,1147.9676072786,1213.25610542779,1214.80729079037
1147.96760814037,1147.96760814037,1213.23338869716,1214.77850274725
1147.96760892686,1147.96760892686,1213.21525410999,1214.75470045214
1147.96760975596,1147.96760975596,1213.1960299752,1214.72942292648
1147.96761052598,1147.96761052598,1213.18032465249,1214.70806987714
1147.96761130536,1147.96761130536,1213.1645014269,1214.68637888331
1147.96761209905,1147.96761209905,1213.15083921315,1214.66682106689
1147.96761285013,1147.96761285013,1213.13827729748,1214.64849143044
1147.96761358488,1147.96761358488,1213.12814015514,1214.6327247653
1147.96761431309,1147.96761431309,1213.11875916599,1214.61759026821
1147.96761503727,1147.96761503727,1213.11175144568,1214.6049439132
1147.96761574114,1147.96761574114,1213.10542916504,1214.59287099052
1147.96761642791,1147.96761642791,1213.10174677422,1214.58373589476
1147.96761712564,1147.96761712564,1213.0984880248,1214.57460024756
1147.96761783414,1147.96761783414,1213.09733897764,1214.56777886203
1147.96761853267,1147.96761853267,1213.09755078542,1214.56201008468
1147.96761921124,1147.96761921124,1213.09946487173,1214.55820294889
1147.96761985127,1147.96761985127,1213.10229758389,1214.55551158527
1147.96762046307,1147.96762046307,1213.10510517953,1214.5532959367
1147.9676211187,1147.9676211187,1213.10859428122,1214.55074521615
1147.96762175249,1147.96762175249,1213.11190274649,1214.54837080877
1147.96762234602,1147.96762234602,1213.11475917518,1214.54606813248
1147.96762297202,1147.96762297202,1213.11791208284,1214.54332020602
1147.96762355036,1147.96762355036,1213.12064545405,1214.5405310229
1147.96762413446,1147.96762413446,1213.12275478107,1214.53777854348
1147.967624785,1147.967624785,1213.12570933499,1214.53389257139
1147.9676253717,1147.9676253717,1213.12781271194,1214.53023453921
1147.967625942,1147.967625942,1213.12952447449,1214.52644309484
1147.9676265157,1147.9676265157,1213.13106277626,1214.52224245973
1147.9676270563,1147.9676270563,1213.13203472531,1214.51827224182
1147.96762764702,1147.96762764702,1213.13321703879,1214.51305847423
1147.96762820344,1147.96762820344,1213.13387916563,1214.5080589154
1147.96762876327,1147.96762876327,1213.13426849159,1214.50278782981
1147.96762929165,1147.96762929165,1213.13437402505,1214.49717134732
1147.96762979958,1147.96762979958,1213.13416807494,1214.49153190461
1147.96763034476,1147.96763034476,1213.13370349423,1214.4852332307
1147.96763087661,1147.96763087661,1213.13293935826,1214.47872573507
1147.96763138453,1147.96763138453,1213.13190861102,1214.47212086374
1147.96763190712,1147.96763190712,1213.13057416605,1214.46503538236
1147.96763239672,1147.96763239672,1213.12899335087,1214.45797518234
1147.96763286342,1147.96763286342,1213.12717399644,1214.4508123103
1147.96763335499,1147.96763335499,1213.12501182088,1214.44303946407
1147.96763381529,1147.96763381529,1213.12264153046,1214.43531027778
1147.96763427245,1147.96763427245,1213.11999176662,1214.42723654885
1147.9676347804,1147.9676347804,1213.116836035,1214.41811259401
1147.96763524145,1147.96763524145,1213.11359248234,1214.40935251273
1147.96763569264,1147.96763569264,1213.11010677991,1214.40038581021
1147.96763614286,1147.96763614286,1213.10632400767,1214.39110125875
1147.96763656636,1147.96763656636,1213.10238659705,1214.38184816342
1147.96763702747,1147.96763702747,1213.09789756354,1214.37162038391
1147.96763747334,1147.96763747334,1213.09319293288,1214.36128446412
1147.9676379096,1147.9676379096,1213.08825698761,1214.35077204513
1147.96763832646,1147.96763832646,1213.08317777102,1214.34028633417
1147.96763875961,1147.96763875961,1213.07761747724,1214.32907763251
